destination_port,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytess,flow_packetss,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packetss,bwd_packetss,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,downup_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_header_length1,fwd_avg_bytesbulk,fwd_avg_packetsbulk,fwd_avg_bulk_rate,bwd_avg_bytesbulk,bwd_avg_packetsbulk,bwd_avg_bulk_rate,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label,attack_type,y
2047,54,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,148148.1481,37037.03704,54.0,0.0,54,54,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,18518.51852,18518.51852,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,portscan,1
50636,69,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,115942.029,28985.50725,69.0,0.0,69,69,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,14492.75362,14492.75362,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,portscan,1
80,2004921,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,11.97054647,1.995091078,668307.0,1157537.349,2004916,1,2004921,668307.0,1157537.349,2004916,1,0,0.0,0.0,0,0,0,0,0,0,80,0,1.995091078,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,ddos,1
10628,43,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,186046.5116,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,23255.81395,23255.81395,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,portscan,1
443,6302050,9,7,954,3472,590,0,106.0,195.6706416405,1505,0,496.0,689.6462861496,702.3111527201,2.5388564039,420136.666666667,1459950.84102727,5688752,85,6302050,787756.25,1991516.85655617,5709375,85,5892750,982125.0,2317010.15135851,5711324,206,0,0,0,0,192,152,1.4281067272,1.1107496767,0,1505,260.3529411765,489.3159691315,239430.117647059,0,0,0,1,0,0,0,0,0,276.625,106.0,496.0,192,0,0,0,0,0,0,9,954,7,3472,8192,114,8,20,254976.0,0.0,254976,254976,5688752.0,0.0,5688752,5688752,benign,benign,0
443,63542,10,5,527,4856,192,0,52.7,77.2097431963,2896,0,971.2,1227.7537212324,84715.6211639546,236.0643354002,4538.7142857143,8480.7854174424,24245,19,63542,7060.2222222222,10281.7616654173,25685,63,27461,6865.25,11705.1492764225,24402,211,0,0,0,0,328,168,157.3762236001,78.6881118001,0,2896,336.4375,775.2868689502,601069.729166667,0,0,0,1,0,0,0,0,0,358.8666666667,52.7,971.2,328,0,0,0,0,0,0,10,527,5,4856,29200,285,4,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,benign,0
80,1255014,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2189.772933,9264.438484,7.171234743,156876.75,441695.3537,1250012,28,4684,2342.0,2370.221931,4018,666,1254936,250987.2,558475.3001,1250012,46,0,0,0,0,72,132,2.390411581,4.780823162,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,ddos,1
9100,18,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,444444.4444,111111.1111,18.0,0.0,18,18,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,55555.55556,55555.55556,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,portscan,1
443,6395824,6,7,1154,458,574,0,192.3333333333,274.7672954823,251,2,65.4285714286,98.6945745602,252.0394557449,2.032576256,532985.333333333,1792319.00692388,6223895,2,171926,34385.2,31632.2380997615,66188,116,6343585,1057264.16666667,2537717.17506907,6237084,2,0,0,0,0,132,144,0.9381121182,1.0944641378,0,574,115.1428571429,196.5544970986,38633.6703296703,0,0,0,1,0,0,0,0,1,124.0,192.3333333333,65.4285714286,132,0,0,0,0,0,0,6,1154,7,458,8192,16646,5,20,171926.0,0.0,171926,171926,6223895.0,0.0,6223895,6223895,benign,benign,0
14441,48,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,166666.6667,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,20833.33333,20833.33333,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,portscan,1
443,119798857,53,72,4974,83578,661,0,93.8490566038,198.6131140827,2920,0,1160.8055555556,611.4816141764,739.1723278295,1.0434156313,966119.814516129,2839596.99131479,10013615,1,119798857,2303824.17307692,4158159.73561115,10265745,124,109539708,1542812.78873239,3568194.37218237,10269981,1,0,0,0,0,1072,1452,0.4424082277,0.6010074036,0,2920,702.7936507937,714.7009144246,510797.397079365,0,0,0,1,0,0,0,0,1,708.416,93.8490566038,1160.8055555556,1072,0,0,0,0,0,0,53,4974,72,83578,8192,9102,52,20,891755.636363636,2126816.58258648,7304307,238436,9999049.54545455,16805.0109453322,10013615,9950635,benign,benign,0
80,25370,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,458533.7012,315.3330706,3624.285714,9121.138484,24299,4,922,461.0,564.2712114,860,62,25323,6330.75,11986.76566,24299,4,0,0,0,0,72,112,118.2499015,197.0831691,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,ddos,1
80,912273,3,5,26,11601,20,0,8.666666667,10.26320288,8760,0,2320.2,3668.897,12745.08837,8.769304802,130324.7143,338902.2674,898809,53,12878,6439.0,8992.984043,12798,80,912220,228055.0,447209.231,898809,191,0,0,0,0,72,112,3.288489301,5.480815502,0,8760,1291.888889,2866.607422,8217438.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,ddos,1
